172.14.0.1 - - [22/Jun/2019:15:13:20 +0000] "GET /admin/login/?next=/admin/ HTTP/1.0" 200 1280 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:20 +0000] "GET /static/admin/css/base.css HTTP/1.0" 403 488 "https://jameshsu.csie.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:20 +0000] "GET /static/admin/css/login.css HTTP/1.0" 403 489 "https://jameshsu.csie.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:21 +0000] "GET /static/admin/css/responsive.css HTTP/1.0" 403 494 "https://jameshsu.csie.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:21 +0000] "GET /favicon.ico HTTP/1.0" 400 61163 "https://jameshsu.csie.org/admin/login/?next=/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:23 +0000] "GET / HTTP/1.0" 200 1476 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:23 +0000] "GET /favicon.ico HTTP/1.0" 400 61138 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:13:57 +0000] "GET / HTTP/1.0" 200 2381 "-" "-"
172.14.0.1 - - [22/Jun/2019:15:13:58 +0000] "GET / HTTP/1.0" 200 2381 "-" "-"
172.14.0.1 - - [22/Jun/2019:15:13:59 +0000] "GET / HTTP/1.0" 200 1476 "https://www.csie.ntu.edu.tw/~b07902001/login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:00 +0000] "GET /static/css/menu.css HTTP/1.0" 403 482 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:00 +0000] "GET /static/js/owa.js HTTP/1.0" 403 479 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:01 +0000] "GET /favicon.ico HTTP/1.0" 400 60945 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:02 +0000] "GET / HTTP/1.0" 200 1476 "https://www.csie.ntu.edu.tw/~b07902001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:03 +0000] "GET /static/css/menu.css HTTP/1.0" 403 482 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:03 +0000] "GET /static/js/owa.js HTTP/1.0" 403 479 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:03 +0000] "GET /favicon.ico HTTP/1.0" 400 61206 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:29 +0000] "GET /login/ HTTP/1.0" 200 2402 "https://jameshsu.csie.org/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:29 +0000] "GET /static/css/menu.css HTTP/1.0" 403 482 "https://jameshsu.csie.org/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:29 +0000] "GET /static/js/owa.js HTTP/1.0" 403 479 "https://jameshsu.csie.org/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:30 +0000] "GET /favicon.ico HTTP/1.0" 400 60951 "https://jameshsu.csie.org/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
172.14.0.1 - - [22/Jun/2019:15:14:36 +0000] "GET /register/ HTTP/1.0" 200 2547 "https://jameshsu.csie.org/login/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
